operating_date,target_time_utc,target_time_local,local_utc_offset,actual_load_mw,actual_load_available,pjm_forecast_mw,pjm_forecast_available,pjm_missing_reason,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,event_id,inside_registered_event,expected_hours_for_day,pjm_available_hours_for_day
2014-01-07,2014-01-07 23:00:00+00:00,2014-01-07 18:00:00-05:00,-5.0,140510.233,True,137965.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-08 00:00:00+00:00,2014-01-07 19:00:00-05:00,-5.0,140128.509,True,139522.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-08 01:00:00+00:00,2014-01-07 20:00:00-05:00,-5.0,138023.189,True,136748.0,True,NONE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-08 02:00:00+00:00,2014-01-07 21:00:00-05:00,-5.0,133810.869,True,,False,NO_COMPLETE_VINTAGE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-08 03:00:00+00:00,2014-01-07 22:00:00-05:00,-5.0,127358.569,True,,False,NO_COMPLETE_VINTAGE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-07,2014-01-08 04:00:00+00:00,2014-01-07 23:00:00-05:00,-5.0,121529.092,True,,False,NO_COMPLETE_VINTAGE,2014-01-06 17:00:00+00:00,2014-01-06 00:00:00+00:00,2014-01-06 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 05:00:00+00:00,2014-01-08 00:00:00-05:00,-5.0,117713.179,True,111368.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 06:00:00+00:00,2014-01-08 01:00:00-05:00,-5.0,115888.623,True,109556.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 07:00:00+00:00,2014-01-08 02:00:00-05:00,-5.0,115236.851,True,108907.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 08:00:00+00:00,2014-01-08 03:00:00-05:00,-5.0,115158.794,True,109064.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 09:00:00+00:00,2014-01-08 04:00:00-05:00,-5.0,117081.621,True,111011.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 10:00:00+00:00,2014-01-08 05:00:00-05:00,-5.0,121543.547,True,115658.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 11:00:00+00:00,2014-01-08 06:00:00-05:00,-5.0,128630.873,True,122829.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 12:00:00+00:00,2014-01-08 07:00:00-05:00,-5.0,133288.136,True,127250.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 13:00:00+00:00,2014-01-08 08:00:00-05:00,-5.0,132168.05,True,126044.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 14:00:00+00:00,2014-01-08 09:00:00-05:00,-5.0,128615.536,True,123255.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
2014-01-08,2014-01-08 15:00:00+00:00,2014-01-08 10:00:00-05:00,-5.0,125224.45,True,120517.0,True,NONE,2014-01-07 17:00:00+00:00,2014-01-07 00:00:00+00:00,2014-01-07 00:00:00+00:00,E2014_PV1,True,24,21
