operating_date,year,expected_target_hours,panel_rows,actual_available_hours,pjm_available_hours,forecast_origin_utc,selected_evaluated_at_utc,selected_vintage_id,number_of_candidate_vintages,latest_candidate_complete,older_vintage_fallback_used,distinct_selected_evaluated_at_count,partial_day_detected,mixed_vintage_detected,evaluation_after_origin_detected,missing_reason,status
2010-02-22,2010,24,24,24,0,2010-02-21 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-23,2010,24,24,24,0,2010-02-22 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-24,2010,24,24,24,0,2010-02-23 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-25,2010,24,24,24,0,2010-02-24 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-26,2010,24,24,24,0,2010-02-25 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-27,2010,24,24,24,0,2010-02-26 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-02-28,2010,24,24,24,0,2010-02-27 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-01,2010,24,24,24,0,2010-02-28 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-02,2010,24,24,24,0,2010-03-01 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-03,2010,24,24,24,0,2010-03-02 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-04,2010,24,24,24,0,2010-03-03 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-05,2010,24,24,24,0,2010-03-04 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-06,2010,24,24,24,0,2010-03-05 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-07,2010,24,24,24,0,2010-03-06 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-08,2010,24,24,24,0,2010-03-07 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-09,2010,24,24,24,0,2010-03-08 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-10,2010,24,24,24,0,2010-03-09 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-11,2010,24,24,24,0,2010-03-10 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-12,2010,24,24,24,0,2010-03-11 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-13,2010,24,24,24,0,2010-03-12 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-14,2010,23,23,23,0,2010-03-13 17:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-15,2010,24,24,24,0,2010-03-14 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-16,2010,24,24,24,0,2010-03-15 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-17,2010,24,24,24,0,2010-03-16 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-18,2010,24,24,24,0,2010-03-17 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-19,2010,24,24,24,0,2010-03-18 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-20,2010,24,24,24,0,2010-03-19 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-21,2010,24,24,24,0,2010-03-20 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-22,2010,24,24,24,0,2010-03-21 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-23,2010,24,24,24,0,2010-03-22 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-24,2010,24,24,24,0,2010-03-23 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-25,2010,24,24,24,0,2010-03-24 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-26,2010,24,24,24,0,2010-03-25 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-27,2010,24,24,24,0,2010-03-26 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-28,2010,24,24,24,0,2010-03-27 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-29,2010,24,24,24,0,2010-03-28 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-30,2010,24,24,24,0,2010-03-29 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-03-31,2010,24,24,24,0,2010-03-30 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-01,2010,24,24,24,0,2010-03-31 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-02,2010,24,24,24,0,2010-04-01 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-03,2010,24,24,24,0,2010-04-02 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-04,2010,24,24,24,0,2010-04-03 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-05,2010,24,24,24,0,2010-04-04 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-06,2010,24,24,24,0,2010-04-05 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-07,2010,24,24,24,0,2010-04-06 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-08,2010,24,24,24,0,2010-04-07 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-09,2010,24,24,24,0,2010-04-08 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-10,2010,24,24,24,0,2010-04-09 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-11,2010,24,24,24,0,2010-04-10 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-12,2010,24,24,24,0,2010-04-11 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
2010-04-13,2010,24,24,24,0,2010-04-12 16:00:00+00:00,,,0,False,False,0,False,False,False,NO_ELIGIBLE_VINTAGE,UNAVAILABLE
