station_id,init_date,forecast_hour,relative_horizon_hour,wind_u_10m_mps,wind_v_10m_mps,relative_humidity_2m_percent,temperature_2m_kelvin,surface_pressure_pa,surface_pressure_hpa,temperature_2m_celsius,wind_speed_10m_mps,initialization_utc,valid_time_utc,valid_time_pjm
Baltimore_Washington_MD,20141101,36,18,-1.18,0.3893092000000002,99.906908,242.79,100923.003125,1009.23003125,-30.359999999999985,1.2425625349271723,2014-11-01 06:00:00,2014-11-02 18:00:00,2014-11-02 13:00:00-05:00
Baltimore_Washington_MD,20141101,37,19,-1.1835635999999998,0.39597586666666684,99.90460533333334,242.88333333333333,100934.13541666667,1009.3413541666667,-30.26666666666665,1.2480463461856606,2014-11-01 06:00:00,2014-11-02 19:00:00,2014-11-02 14:00:00-05:00
Baltimore_Washington_MD,20141101,38,20,-1.1871272,0.40264253333333355,99.90230266666667,242.97666666666666,100945.26770833333,1009.4526770833332,-30.173333333333318,1.2535517534704836,2014-11-01 06:00:00,2014-11-02 20:00:00,2014-11-02 15:00:00-05:00
Baltimore_Washington_MD,20141101,39,21,-1.1906907999999998,0.4093092000000002,99.9,243.07,100956.4,1009.564,-30.079999999999984,1.2590784734913387,2014-11-01 06:00:00,2014-11-02 21:00:00,2014-11-02 16:00:00-05:00
Baltimore_Washington_MD,20141101,40,22,-1.0537938666666666,0.46930920000000015,99.93333333333334,242.91,100949.90104166666,1009.4990104166666,-30.23999999999998,1.1535738548653591,2014-11-01 06:00:00,2014-11-02 22:00:00,2014-11-02 17:00:00-05:00
Baltimore_Washington_MD,20141101,41,23,-0.9168969333333332,0.5293092000000001,99.96666666666667,242.75,100943.40208333333,1009.4340208333333,-30.399999999999977,1.0587106382580234,2014-11-01 06:00:00,2014-11-02 23:00:00,2014-11-02 18:00:00-05:00
Baltimore_Washington_MD,20141101,42,24,-0.78,0.5893092000000001,100.0,242.59,100936.903125,1009.3690312499999,-30.559999999999974,0.9775915983705262,2014-11-01 06:00:00,2014-11-03 00:00:00,2014-11-02 19:00:00-05:00
Baltimore_Washington_MD,20141101,43,25,-0.7466666666666667,0.5659758666666668,99.93793866666667,242.64023026666666,100937.43541666666,1009.3743541666666,-30.509769733333314,0.9369310501633489,2014-11-01 06:00:00,2014-11-03 01:00:00,2014-11-02 20:00:00-05:00
Baltimore_Washington_MD,20141101,44,26,-0.7133333333333334,0.5426425333333335,99.87587733333334,242.69046053333335,100937.96770833334,1009.3796770833334,-30.459539466666627,0.896273040667219,2014-11-01 06:00:00,2014-11-03 02:00:00,2014-11-02 21:00:00-05:00
Baltimore_Washington_MD,20141101,45,27,-0.68,0.5193092000000001,99.813816,242.7406908,100938.5,1009.385,-30.409309199999967,0.8556179317923627,2014-11-01 06:00:00,2014-11-03 03:00:00,2014-11-02 22:00:00-05:00
Baltimore_Washington_MD,20141101,46,28,-0.54,0.5095394666666667,99.87357466666667,243.30735746666667,100938.16666666667,1009.3816666666667,-29.842642533333304,0.7424489666576088,2014-11-01 06:00:00,2014-11-03 04:00:00,2014-11-02 23:00:00-05:00
Baltimore_Washington_MD,20141101,47,29,-0.4,0.49976973333333335,99.93333333333334,243.87402413333334,100937.83333333333,1009.3783333333333,-29.27597586666664,0.6401326318475502,2014-11-01 06:00:00,2014-11-03 05:00:00,2014-11-03 00:00:00-05:00
Baltimore_Washington_MD,20141101,48,30,-0.26,0.49,99.993092,244.4406908,100937.5,1009.375,-28.70930919999998,0.5547071299343465,2014-11-01 06:00:00,2014-11-03 06:00:00,2014-11-03 01:00:00-05:00
Chicago_OHare_IL,2014-03-08,18,0,-1.8354703999999993,-5.3386324,99.9,250.38,101110.7,1011.107,-22.769999999999982,5.645347419920754,2014-03-08 06:00:00,2014-03-09 00:00:00,2014-03-08 19:00:00-05:00
Chicago_OHare_IL,2014-03-08,19,1,-1.7921370666666658,-5.371965733333333,99.93333333333334,250.17333333333332,101109.76039466666,1011.0976039466666,-22.97666666666666,5.663017844385459,2014-03-08 06:00:00,2014-03-09 01:00:00,2014-03-08 20:00:00-05:00
Chicago_OHare_IL,2014-03-08,20,2,-1.7488037333333326,-5.405299066666667,99.96666666666667,249.96666666666667,101108.82078933333,1011.0882078933333,-23.18333333333331,5.681159432530313,2014-03-08 06:00:00,2014-03-09 02:00:00,2014-03-08 21:00:00-05:00
Chicago_OHare_IL,2014-03-08,21,3,-1.7054703999999992,-5.4386324,100.0,249.76,101107.881184,1011.07881184,-23.389999999999986,5.699767685406654,2014-03-08 06:00:00,2014-03-09 03:00:00,2014-03-08 22:00:00-05:00
Chicago_OHare_IL,2014-03-08,22,4,-1.7592595999999991,-5.468176533333334,99.96666666666667,249.65666666666667,101096.78118399999,1010.96781184,-23.49333333333331,5.744210036192053,2014-03-08 06:00:00,2014-03-09 04:00:00,2014-03-08 23:00:00-05:00
Chicago_OHare_IL,2014-03-08,23,5,-1.8130487999999991,-5.497720666666668,99.93333333333334,249.5533333333333,101085.681184,1010.85681184,-23.596666666666664,5.788961779099533,2014-03-08 06:00:00,2014-03-09 05:00:00,2014-03-09 00:00:00-05:00
Chicago_OHare_IL,2014-03-08,24,6,-1.866837999999999,-5.527264800000001,99.9,249.45,101074.581184,1010.74581184,-23.69999999999999,5.834015794250393,2014-03-08 06:00:00,2014-03-09 06:00:00,2014-03-09 01:00:00-05:00
Chicago_OHare_IL,2014-03-08,25,7,-1.9597154666666659,-5.430598133333334,99.93333333333334,249.34333333333333,101079.987456,1010.79987456,-23.806666666666644,5.773376897107624,2014-03-08 06:00:00,2014-03-09 07:00:00,2014-03-09 03:00:00-04:00
Chicago_OHare_IL,2014-03-08,26,8,-2.0525929333333326,-5.333931466666668,99.96666666666667,249.23666666666665,101085.393728,1010.85393728,-23.913333333333327,5.715239508635379,2014-03-08 06:00:00,2014-03-09 08:00:00,2014-03-09 04:00:00-04:00
Chicago_OHare_IL,2014-03-08,27,9,-2.1454703999999993,-5.237264800000001,100.0,249.13,101090.8,1010.908,-24.019999999999982,5.659680717372244,2014-03-08 06:00:00,2014-03-09 09:00:00,2014-03-09 05:00:00-04:00
Chicago_OHare_IL,2014-03-08,28,10,-2.132137066666666,-5.207720666666668,100.0,249.02,101089.86770833333,1010.8986770833333,-24.129999999999967,5.627287358317599,2014-03-08 06:00:00,2014-03-09 10:00:00,2014-03-09 06:00:00-04:00
Chicago_OHare_IL,2014-03-08,29,11,-2.1188037333333325,-5.1781765333333345,100.0,248.91,101088.93541666667,1010.8893541666667,-24.23999999999998,5.594894232311394,2014-03-08 06:00:00,2014-03-09 11:00:00,2014-03-09 07:00:00-04:00
Chicago_OHare_IL,2014-03-08,30,12,-2.1054703999999993,-5.148632400000001,100.0,248.8,101088.003125,1010.88003125,-24.349999999999966,5.56250134342509,2014-03-08 06:00:00,2014-03-09 12:00:00,2014-03-09 08:00:00-04:00
Chicago_OHare_IL,2014-03-08,31,13,-2.1816811999999994,-5.068176533333334,100.0,248.76666666666668,101093.83541666667,1010.9383541666667,-24.383333333333297,5.517802663331132,2014-03-08 06:00:00,2014-03-09 13:00:00,2014-03-09 09:00:00-04:00
Chicago_OHare_IL,2014-03-08,32,14,-2.2578919999999996,-4.987720666666668,100.0,248.73333333333332,101099.66770833333,1010.9966770833333,-24.416666666666657,5.474982532607551,2014-03-08 06:00:00,2014-03-09 14:00:00,2014-03-09 10:00:00-04:00
Chicago_OHare_IL,2014-03-08,33,15,-2.3341027999999997,-4.907264800000001,100.0,248.7,101105.5,1011.055,-24.44999999999999,5.434085359863874,2014-03-08 06:00:00,2014-03-09 15:00:00,2014-03-09 11:00:00-04:00
Chicago_OHare_IL,2014-03-08,34,16,-2.317436133333333,-4.753931466666668,100.0,248.6,101109.23333333334,1011.0923333333334,-24.549999999999983,5.288702546167864,2014-03-08 06:00:00,2014-03-09 16:00:00,2014-03-09 12:00:00-04:00
