operating_day_pjm,initialization_utc,initialization_date,cycle_hour_utc
2014-09-11,2014-09-10 06:00:00+00:00,2014-09-10,6
2014-09-12,2014-09-11 06:00:00+00:00,2014-09-11,6
2014-09-13,2014-09-12 06:00:00+00:00,2014-09-12,6
2014-09-14,2014-09-13 06:00:00+00:00,2014-09-13,6
2014-09-15,2014-09-14 06:00:00+00:00,2014-09-14,6
2014-09-16,2014-09-15 06:00:00+00:00,2014-09-15,6
2014-09-17,2014-09-16 06:00:00+00:00,2014-09-16,6
2014-09-18,2014-09-17 06:00:00+00:00,2014-09-17,6
2014-09-19,2014-09-18 06:00:00+00:00,2014-09-18,6
2014-09-20,2014-09-19 06:00:00+00:00,2014-09-19,6
2014-09-21,2014-09-20 06:00:00+00:00,2014-09-20,6
2014-09-22,2014-09-21 06:00:00+00:00,2014-09-21,6
2014-09-23,2014-09-22 06:00:00+00:00,2014-09-22,6
2014-09-24,2014-09-23 06:00:00+00:00,2014-09-23,6
2014-09-25,2014-09-24 06:00:00+00:00,2014-09-24,6
2014-09-26,2014-09-25 06:00:00+00:00,2014-09-25,6
2014-09-27,2014-09-26 06:00:00+00:00,2014-09-26,6
2014-09-28,2014-09-27 06:00:00+00:00,2014-09-27,6
2014-09-29,2014-09-28 06:00:00+00:00,2014-09-28,6
2014-09-30,2014-09-29 06:00:00+00:00,2014-09-29,6
2014-10-01,2014-09-30 06:00:00+00:00,2014-09-30,6
2014-10-02,2014-10-01 06:00:00+00:00,2014-10-01,6
2014-10-03,2014-10-02 06:00:00+00:00,2014-10-02,6
2014-10-04,2014-10-03 06:00:00+00:00,2014-10-03,6
2014-10-05,2014-10-04 06:00:00+00:00,2014-10-04,6
2014-10-06,2014-10-05 06:00:00+00:00,2014-10-05,6
2014-10-07,2014-10-06 06:00:00+00:00,2014-10-06,6
2014-10-08,2014-10-07 06:00:00+00:00,2014-10-07,6
2014-10-09,2014-10-08 06:00:00+00:00,2014-10-08,6
2014-10-10,2014-10-09 06:00:00+00:00,2014-10-09,6
2014-10-11,2014-10-10 06:00:00+00:00,2014-10-10,6
2014-10-12,2014-10-11 06:00:00+00:00,2014-10-11,6
2014-10-13,2014-10-12 06:00:00+00:00,2014-10-12,6
2014-10-14,2014-10-13 06:00:00+00:00,2014-10-13,6
2014-10-15,2014-10-14 06:00:00+00:00,2014-10-14,6
2014-10-16,2014-10-15 06:00:00+00:00,2014-10-15,6
2014-10-17,2014-10-16 06:00:00+00:00,2014-10-16,6
2014-10-18,2014-10-17 06:00:00+00:00,2014-10-17,6
2014-10-19,2014-10-18 06:00:00+00:00,2014-10-18,6
2014-10-20,2014-10-19 06:00:00+00:00,2014-10-19,6
2014-10-21,2014-10-20 06:00:00+00:00,2014-10-20,6
2014-10-22,2014-10-21 06:00:00+00:00,2014-10-21,6
2014-10-23,2014-10-22 06:00:00+00:00,2014-10-22,6
2014-10-24,2014-10-23 06:00:00+00:00,2014-10-23,6
2014-10-25,2014-10-24 06:00:00+00:00,2014-10-24,6
2014-10-26,2014-10-25 06:00:00+00:00,2014-10-25,6
2014-10-27,2014-10-26 06:00:00+00:00,2014-10-26,6
2014-10-28,2014-10-27 06:00:00+00:00,2014-10-27,6
2014-10-29,2014-10-28 06:00:00+00:00,2014-10-28,6
2014-10-30,2014-10-29 06:00:00+00:00,2014-10-29,6
2014-10-31,2014-10-30 06:00:00+00:00,2014-10-30,6
2014-11-01,2014-10-31 06:00:00+00:00,2014-10-31,6
2014-11-02,2014-11-01 06:00:00+00:00,2014-11-01,6
2014-11-03,2014-11-02 06:00:00+00:00,2014-11-02,6
2014-11-04,2014-11-03 06:00:00+00:00,2014-11-03,6
2014-11-05,2014-11-04 06:00:00+00:00,2014-11-04,6
2014-11-06,2014-11-05 06:00:00+00:00,2014-11-05,6
2014-11-07,2014-11-06 06:00:00+00:00,2014-11-06,6
2014-11-08,2014-11-07 06:00:00+00:00,2014-11-07,6
2014-11-09,2014-11-08 06:00:00+00:00,2014-11-08,6
2014-11-10,2014-11-09 06:00:00+00:00,2014-11-09,6
2014-11-11,2014-11-10 06:00:00+00:00,2014-11-10,6
2014-11-12,2014-11-11 06:00:00+00:00,2014-11-11,6
2014-11-13,2014-11-12 06:00:00+00:00,2014-11-12,6
2014-11-14,2014-11-13 06:00:00+00:00,2014-11-13,6
2014-11-15,2014-11-14 06:00:00+00:00,2014-11-14,6
2014-11-16,2014-11-15 06:00:00+00:00,2014-11-15,6
2014-11-17,2014-11-16 06:00:00+00:00,2014-11-16,6
2014-11-18,2014-11-17 06:00:00+00:00,2014-11-17,6
2014-11-19,2014-11-18 06:00:00+00:00,2014-11-18,6
2014-11-20,2014-11-19 06:00:00+00:00,2014-11-19,6
2014-11-21,2014-11-20 06:00:00+00:00,2014-11-20,6
2014-11-22,2014-11-21 06:00:00+00:00,2014-11-21,6
2014-11-23,2014-11-22 06:00:00+00:00,2014-11-22,6
2014-11-24,2014-11-23 06:00:00+00:00,2014-11-23,6
2014-11-25,2014-11-24 06:00:00+00:00,2014-11-24,6
2014-11-26,2014-11-25 06:00:00+00:00,2014-11-25,6
2014-11-27,2014-11-26 06:00:00+00:00,2014-11-26,6
2014-11-28,2014-11-27 06:00:00+00:00,2014-11-27,6
2014-11-29,2014-11-28 06:00:00+00:00,2014-11-28,6
2014-11-30,2014-11-29 06:00:00+00:00,2014-11-29,6
2014-12-01,2014-11-30 06:00:00+00:00,2014-11-30,6
2014-12-02,2014-12-01 06:00:00+00:00,2014-12-01,6
2014-12-03,2014-12-02 06:00:00+00:00,2014-12-02,6
2014-12-04,2014-12-03 06:00:00+00:00,2014-12-03,6
2014-12-05,2014-12-04 06:00:00+00:00,2014-12-04,6
2014-12-06,2014-12-05 06:00:00+00:00,2014-12-05,6
2014-12-07,2014-12-06 06:00:00+00:00,2014-12-06,6
2014-12-08,2014-12-07 06:00:00+00:00,2014-12-07,6
2014-12-09,2014-12-08 06:00:00+00:00,2014-12-08,6
2014-12-10,2014-12-09 06:00:00+00:00,2014-12-09,6
2014-12-11,2014-12-10 06:00:00+00:00,2014-12-10,6
